record_id,cpse,cpse_material_code,original_description,predicted_canonical_id,national_material_code,confidence,final_decision
201,CPSE-C,CPSEC-133659,2 IN CS WN FLG 150 CLASS,CM0041,NMMC-FLANGE-0041,94.0,NO_MATCH
202,CPSE-C,CPSEC-571029,DGB BRG 6205,CM0011,NMMC-BEARING-0011,97.0,MATCH
203,CPSE-A,CPSEA-632323,3C X 35 SQMM PVC CABL 1.1KV,CM0069,NMMC-ELECTRICAL_CABLE-0069,99.62,MATCH
204,CPSE-A,CPSEA-267753,8 IN PTFE FULL FACE GKT 150 CLASS,CM0055,NMMC-GASKET-0055,99.7,MATCH
205,CPSE-C,CPSEC-899550,4CX50 SQMM PVC CABLE 1.1KV,CM0070,NMMC-ELECTRICAL_CABLE-0070,98.44,MATCH
206,CPSE-A,CPSEA-392004,IMPACT WRENCH 1/2 IN 500W,CM0096,NMMC-INDUSTRIAL_TOOL-0096,98.71,MATCH
207,CPSE-A,CPSEA-249811,10 IN SS304 SLIP ON FLG 150 CLASS,CM0047,NMMC-FLANGE-0047,99.7,MATCH
208,CPSE-C,CPSEC-230889,2 IN SS304 GTV 150 CLASS,CM0021,NMMC-VALVE-0021,95.58,REVIEW
209,CPSE-A,CPSEA-514850,8 IN CS WELD NECK FLG 300 CLASS,CM0046,NMMC-FLANGE-0046,97.2,MATCH
210,CPSE-C,CPSEC-321231,3 IN CS SO FLG 150 CLASS,CM0043,NMMC-FLANGE-0043,95.06,MATCH
211,CPSE-C,CPSEC-238739,CUTTING MACHINE 355MM 2000W,CM0097,NMMC-INDUSTRIAL_TOOL-0097,100.0,MATCH
212,CPSE-C,CPSEC-872246,M10X75 SS316 HEX BOLT,CM0003,NMMC-FASTENER-0003,97.14,MATCH
213,CPSE-B,CPSEB-479201,"4""SS316 BALL VAL 150#",CM0024,NMMC-VALVE-0024,95.64,MATCH
214,CPSE-A,CPSEA-335612,CENT PMP 250 M3/H 70M HEAD 55KW,CM0089,NMMC-PUMP-0089,96.75,MATCH
215,CPSE-B,CPSEB-182627,"2""SS304 GATE VAL 300#",CM0022,NMMC-VALVE-0022,92.47,MATCH
216,CPSE-C,CPSEC-263032,DGB BRG 6306,CM0015,NMMC-BEARING-0015,97.0,MATCH
217,CPSE-A,CPSEA-170674,ELEC DRILL 10MM 650W,CM0094,NMMC-INDUSTRIAL_TOOL-0094,98.09,MATCH
218,CPSE-A,CPSEA-195325,4 IN SPIRAL WOUND GRAPHITE GKT 300 CLASS,CM0053,NMMC-GASKET-0053,99.75,MATCH
219,CPSE-B,CPSEB-832052,DEEP GROOVE BALL BEARING 6305,CM0014,NMMC-BEARING-0014,100.0,MATCH
220,CPSE-A,CPSEA-944151,2 IN SS304 WELD NECK FLG 150 CLASS,CM0042,NMMC-FLANGE-0042,99.71,NO_MATCH
221,CPSE-C,CPSEC-842225,A/GRINDER 115MM 900W,CM0092,NMMC-INDUSTRIAL_TOOL-0092,42.52,NO_MATCH
222,CPSE-A,CPSEA-439902,3 PHASE INDUCTION MTR 11KW 415V 50HZ,CM0073,NMMC-MOTOR-0073,100.0,MATCH
223,CPSE-A,CPSEA-245051,3 IN SPIRAL WOUND SS GRAPHITE GKT 150 CLASS,CM0052,NMMC-GASKET-0052,99.77,MATCH
224,CPSE-C,CPSEC-127824,M16X75 SS304 HEX BOLT,CM0008,NMMC-FASTENER-0008,97.14,MATCH
225,CPSE-A,CPSEA-573417,CENT PMP 200 M3/H 60M HEAD 45KW,CM0088,NMMC-PUMP-0088,96.75,MATCH
226,CPSE-C,CPSEC-771088,3 IN SS316 SEAMLESS PIPE SCH40,CM0037,NMMC-PIPE-0037,99.64,REVIEW
227,CPSE-A,CPSEA-996865,8 IN CS GATE VLV 300 CLASS,CM0028,NMMC-VALVE-0028,96.5,MATCH
228,CPSE-A,CPSEA-260263,4C X 50 SQMM PVC CABL 1.1KV,CM0070,NMMC-ELECTRICAL_CABLE-0070,99.62,MATCH
229,CPSE-C,CPSEC-916449,3 PHASE IND MTR 5.5KW 415V 50HZ,CM0071,NMMC-MOTOR-0071,98.65,MATCH
230,CPSE-A,CPSEA-267414,DEEP GROOVE BALL BRG 6305,CM0014,NMMC-BEARING-0014,100.0,MATCH
231,CPSE-A,CPSEA-598369,CENT PMP 20 M3/H 30M HEAD 5.5KW,CM0081,NMMC-PUMP-0081,96.75,MATCH
232,CPSE-A,CPSEA-858490,WELDING MACHINE 200A,CM0098,NMMC-INDUSTRIAL_TOOL-0098,100.0,REVIEW
233,CPSE-A,CPSEA-491559,CENT PMP 150 M3/H 50M HEAD 37KW,CM0087,NMMC-PUMP-0087,96.75,MATCH
234,CPSE-B,CPSEB-211579,4CX16 SQMM PVC CABLE 1.1KV,CM0067,NMMC-ELECTRICAL_CABLE-0067,97.67,MATCH
235,CPSE-C,CPSEC-719176,M20X80 GI HEX BOLT,CM0005,NMMC-FASTENER-0005,98.09,MATCH
236,CPSE-C,CPSEC-452944,DGB BRG 6307,CM0016,NMMC-BEARING-0016,97.0,MATCH
237,CPSE-B,CPSEB-802729,"3""CS SEAMLESS PIPE SCH40",CM0032,NMMC-PIPE-0032,97.58,NO_MATCH
238,CPSE-C,CPSEC-359947,C/PMP 200 M3/H 60M HEAD 45KW,CM0088,NMMC-PUMP-0088,97.12,MATCH
239,CPSE-C,CPSEC-694916,3 PHASE IND MTR 22KW 415V 50HZ,CM0076,NMMC-MOTOR-0076,98.6,MATCH
240,CPSE-A,CPSEA-107540,ANGLE GRINDER 115MM 900W,CM0092,NMMC-INDUSTRIAL_TOOL-0092,100.0,MATCH
241,CPSE-A,CPSEA-412942,4C X 25 SQMM PVC CABL 1.1KV,CM0068,NMMC-ELECTRICAL_CABLE-0068,99.62,MATCH
242,CPSE-C,CPSEC-757924,6 IN SW GRAPHITE GASKET 150 CLASS,CM0054,NMMC-GASKET-0054,97.42,MATCH
243,CPSE-B,CPSEB-391369,DEEP GROOVE BALL BEARING 6306,CM0015,NMMC-BEARING-0015,100.0,MATCH
244,CPSE-B,CPSEB-612340,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,CM0073,NMMC-MOTOR-0073,100.0,MATCH
245,CPSE-B,CPSEB-375504,"4""SS304 SLIP ON FLG 300#",CM0049,NMMC-FLANGE-0049,97.0,MATCH
246,CPSE-B,CPSEB-575763,3CX4 SQMM PVC CABLE 1.1KV,CM0064,NMMC-ELECTRICAL_CABLE-0064,98.38,MATCH
247,CPSE-B,CPSEB-480612,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,CM0074,NMMC-MOTOR-0074,100.0,MATCH
248,CPSE-C,CPSEC-823378,C/PMP 75 M3/H 40M HEAD 15KW,CM0084,NMMC-PUMP-0084,97.0,MATCH
249,CPSE-A,CPSEA-877572,M12 X 50 SS304 HEX BOLT,CM0002,NMMC-FASTENER-0002,97.14,MATCH
250,CPSE-A,CPSEA-356702,2 IN SS304 SEAMLESS PIP SCH10,CM0036,NMMC-PIPE-0036,99.28,MATCH
251,CPSE-C,CPSEC-988662,TR BRG 30206,CM0018,NMMC-BEARING-0018,97.83,MATCH
252,CPSE-B,CPSEB-787277,"6""CS SLIP ON FLG 150#",CM0045,NMMC-FLANGE-0045,95.21,MATCH
253,CPSE-B,CPSEB-216739,M10X50 SS304 HEX BOLT,CM0001,NMMC-FASTENER-0001,97.14,MATCH
254,CPSE-C,CPSEC-429963,4 IN SS316 WN FLG 300 CLASS,CM0044,NMMC-FLANGE-0044,97.12,MATCH
255,CPSE-B,CPSEB-660086,"8""SS316 SEAMLESS PIPE SCH40",CM0035,NMMC-PIPE-0035,99.28,MATCH
256,CPSE-B,CPSEB-197251,TAPERED ROLLER BEARING 30205,CM0017,NMMC-BEARING-0017,100.0,MATCH
257,CPSE-C,CPSEC-183667,6 IN SS316 BLV 300 CLASS,CM0027,NMMC-VALVE-0027,96.11,MATCH
258,CPSE-B,CPSEB-738551,3CX35 SQMM PVC CABLE 1.1KV,CM0069,NMMC-ELECTRICAL_CABLE-0069,97.67,MATCH
259,CPSE-B,CPSEB-391704,DEEP GROOVE BALL BEARING 6206,CM0012,NMMC-BEARING-0012,100.0,MATCH
260,CPSE-B,CPSEB-488162,"2""CS SEAMLESS PIPE SCH40",CM0031,NMMC-PIPE-0031,97.58,MATCH
261,CPSE-B,CPSEB-476417,TAPERED ROLLER BEARING 30206,CM0018,NMMC-BEARING-0018,100.0,MATCH
262,CPSE-B,CPSEB-676510,CENTRIF PUMP 20 M3/H 30M HEAD 5.5KW,CM0081,NMMC-PUMP-0081,97.73,MATCH
263,CPSE-B,CPSEB-191161,M20X80 GALV HEX BOLT,CM0005,NMMC-FASTENER-0005,96.73,MATCH
264,CPSE-B,CPSEB-974628,"2""CS GLOBE VAL 150#",CM0030,NMMC-VALVE-0030,93.57,REVIEW
265,CPSE-B,CPSEB-725380,"2""PTFE FULL FACE GASK 150#",CM0056,NMMC-GASKET-0056,93.0,MATCH
266,CPSE-A,CPSEA-595631,TORQUE WRENCH 50-250NM,CM0099,NMMC-INDUSTRIAL_TOOL-0099,100.0,REVIEW
267,CPSE-C,CPSEC-623481,6 IN CS SO FLG 150 CLASS,CM0045,NMMC-FLANGE-0045,95.06,MATCH
268,CPSE-C,CPSEC-608993,IMPACT WRENCH 1/2 IN 500W,CM0096,NMMC-INDUSTRIAL_TOOL-0096,98.71,MATCH
269,CPSE-A,CPSEA-377932,CENT PMP 30 M3/H 40M HEAD 7.5KW,CM0082,NMMC-PUMP-0082,96.75,MATCH
270,CPSE-A,CPSEA-460663,TAPERED ROLLER BRG 30305,CM0019,NMMC-BEARING-0019,100.0,MATCH
271,CPSE-C,CPSEC-498382,TR BRG 30205,CM0017,NMMC-BEARING-0017,97.83,MATCH
272,CPSE-A,CPSEA-680099,10 IN GRAPHITE SPIRAL WOUND GKT 150 CLASS,CM0059,NMMC-GASKET-0059,99.76,MATCH
273,CPSE-A,CPSEA-265840,3C X 4 SQMM PVC CABL 1.1KV,CM0064,NMMC-ELECTRICAL_CABLE-0064,99.6,MATCH
274,CPSE-B,CPSEB-946721,BENCH GRINDER 200MM 550W,CM0100,NMMC-INDUSTRIAL_TOOL-0100,100.0,MATCH
275,CPSE-B,CPSEB-407757,3CX2.5 SQMM PVC CABLE 1.1KV,CM0063,NMMC-ELECTRICAL_CABLE-0063,97.0,MATCH
276,CPSE-B,CPSEB-500156,"4""SS GRAPHITE GASK 150#",CM0057,NMMC-GASKET-0057,94.47,MATCH
277,CPSE-B,CPSEB-145561,SPHERICAL ROLLER BEARING 22205,CM0020,NMMC-BEARING-0020,100.0,MATCH
278,CPSE-A,CPSEA-207175,TAPERED ROLLER BRG 30205,CM0017,NMMC-BEARING-0017,100.0,MATCH
279,CPSE-B,CPSEB-658582,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,CM0079,NMMC-MOTOR-0079,100.0,MATCH
280,CPSE-A,CPSEA-310922,CENT PMP 100 M3/H 50M HEAD 22KW,CM0085,NMMC-PUMP-0085,96.75,MATCH
281,CPSE-A,CPSEA-629903,M16 X 75 SS304 HEX BOLT,CM0008,NMMC-FASTENER-0008,97.14,MATCH
282,CPSE-B,CPSEB-260265,"6""SPIRAL WOUND GRAPHITE GASK 150#",CM0054,NMMC-GASKET-0054,94.27,MATCH
283,CPSE-A,CPSEA-761759,ANGLE GRINDER 125MM 1100W,CM0093,NMMC-INDUSTRIAL_TOOL-0093,100.0,MATCH
284,CPSE-C,CPSEC-103402,3CX4 SQMM PVC CABLE 1.1KV,CM0064,NMMC-ELECTRICAL_CABLE-0064,98.38,MATCH
285,CPSE-C,CPSEC-781446,C/PMP 120 M3/H 60M HEAD 30KW,CM0086,NMMC-PUMP-0086,97.12,MATCH
286,CPSE-C,CPSEC-711878,6 IN SS316 WN FLG 150 CLASS,CM0050,NMMC-FLANGE-0050,97.12,MATCH
287,CPSE-B,CPSEB-852787,"4""SS316 WELD NECK FLG 300#",CM0044,NMMC-FLANGE-0044,97.18,MATCH
288,CPSE-B,CPSEB-479580,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",CM0051,NMMC-GASKET-0051,94.69,MATCH
289,CPSE-A,CPSEA-174870,6 IN CS SEAMLESS PIP SCH80,CM0034,NMMC-PIPE-0034,95.26,MATCH
290,CPSE-A,CPSEA-766563,2 IN CS GLOBE VLV 150 CLASS,CM0030,NMMC-VALVE-0030,96.64,REVIEW
291,CPSE-B,CPSEB-100599,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,CM0072,NMMC-MOTOR-0072,100.0,MATCH
292,CPSE-B,CPSEB-961722,"2""CS WELD NECK FLG 150#",CM0041,NMMC-FLANGE-0041,95.52,NO_MATCH
293,CPSE-C,CPSEC-526833,BENCH GRINDER 200MM 550W,CM0100,NMMC-INDUSTRIAL_TOOL-0100,100.0,MATCH
294,CPSE-C,CPSEC-343962,M12X80 SS316 HEX BOLT,CM0007,NMMC-FASTENER-0007,97.14,MATCH
295,CPSE-C,CPSEC-555884,3CX2.5 SQMM PVC CABLE 1.1KV,CM0063,NMMC-ELECTRICAL_CABLE-0063,97.0,MATCH
296,CPSE-C,CPSEC-705397,4 IN SS316 BLV 150 CLASS,CM0024,NMMC-VALVE-0024,96.11,REVIEW
297,CPSE-B,CPSEB-271339,"2""SS304 SEAMLESS PIPE SCH10",CM0036,NMMC-PIPE-0036,99.28,MATCH
298,CPSE-A,CPSEA-341292,ANGLE GRINDER 100MM 750W,CM0091,NMMC-INDUSTRIAL_TOOL-0091,100.0,MATCH
299,CPSE-A,CPSEA-279451,8 IN SS316 SEAMLESS PIP SCH40,CM0035,NMMC-PIPE-0035,99.28,MATCH
