cpse,record_description,normalized_description,canonical_id,canonical_description,category,description_score,technical_score,category_score,conflict_count,conflicts,confidence_score,decision,candidate_rank
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,66.67,100.0,100.0,0,,85.0,MATCH,5
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,64.2,100.0,100.0,0,,83.89,REVIEW,6
CPSE-B,"2""SPIRAL WOUND SS GRAPHITE GASK 150#",2INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0053,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,62.5,100.0,100.0,0,,83.12,REVIEW,7
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,79.25,0.0,100.0,0,,45.66,NO_MATCH,1
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0026,4 IN SS304 GATE VALVE 150 CLASS,VALVE,75.47,0.0,100.0,0,,43.96,NO_MATCH,2
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,67.92,0.0,100.0,0,,40.57,NO_MATCH,3
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,60.0,0.0,100.0,0,,37.0,NO_MATCH,4
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,54.9,0.0,100.0,0,,34.71,NO_MATCH,5
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0028,8 IN CS GATE VALVE 300 CLASS,VALVE,52.0,0.0,100.0,0,,33.4,NO_MATCH,6
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0024,4 IN SS316 BALL VALVE 150 CLASS,VALVE,49.06,0.0,100.0,0,,32.08,NO_MATCH,7
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0027,6 IN SS316 BALL VALVE 300 CLASS,VALVE,41.51,0.0,100.0,0,,28.68,NO_MATCH,8
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0025,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,40.0,0.0,100.0,0,,28.0,NO_MATCH,9
CPSE-B,"2""SS304 GATE VAL 150#",2INSS304 GATE VAL 150#,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,39.29,0.0,100.0,0,,27.68,NO_MATCH,10
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,64.15,0.0,100.0,0,,38.87,NO_MATCH,1
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,64.15,0.0,100.0,0,,38.87,NO_MATCH,2
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0026,4 IN SS304 GATE VALVE 150 CLASS,VALVE,60.38,0.0,100.0,0,,37.17,NO_MATCH,3
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,48.0,0.0,100.0,0,,31.6,NO_MATCH,4
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0028,8 IN CS GATE VALVE 300 CLASS,VALVE,48.0,0.0,100.0,0,,31.6,NO_MATCH,5
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,43.14,0.0,100.0,0,,29.41,NO_MATCH,6
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,35.71,0.0,100.0,0,,26.07,NO_MATCH,7
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0024,4 IN SS316 BALL VALVE 150 CLASS,VALVE,33.96,0.0,100.0,0,,25.28,NO_MATCH,8
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0027,6 IN SS316 BALL VALVE 300 CLASS,VALVE,33.96,0.0,100.0,0,,25.28,NO_MATCH,9
CPSE-B,"2""SS304 GATE VAL 300#",2INSS304 GATE VAL 300#,CM0025,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,32.73,0.0,100.0,0,,24.73,NO_MATCH,10
CPSE-B,"2""SS304 SEAMLESS PIPE SCH10",2INSS304 SEAMLESS PIPE SCH10,CM0036,2 IN SS304 SEAMLESS PIPE SCH10,PIPE,96.55,100.0,100.0,0,,98.45,MATCH,1
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0042,2 IN SS304 WELD NECK FLANGE 150 CLASS,FLANGE,86.57,100.0,100.0,0,,93.96,MATCH,1
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0050,6 IN SS316 WELD NECK FLANGE 150 CLASS,FLANGE,77.61,100.0,100.0,0,,89.93,MATCH,2
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0041,2 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,75.0,100.0,100.0,0,,88.75,MATCH,3
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0044,4 IN SS316 WELD NECK FLANGE 300 CLASS,FLANGE,71.64,100.0,100.0,0,,87.24,MATCH,4
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0048,12 IN CS WELD NECK FLANGE 150 CLASS,FLANGE,70.77,100.0,100.0,0,,86.85,MATCH,5
CPSE-B,"2""SS304 WELD NECK FLG 150#",2INSS304 WELD NECK FLANGE 150#,CM0046,8 IN CS WELD NECK FLANGE 300 CLASS,FLANGE,69.57,100.0,100.0,0,,86.3,MATCH,6
CPSE-A,3 IN CS GATE VLV 150 CLASS,3IN CARBON STEEL GATE VALVE 150 CLASS,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,83.33,100.0,100.0,0,,92.5,MATCH,1
CPSE-C,3 IN CS GTV 150 CLASS,3IN CARBON STEEL GTV 150 CLASS,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,62.07,100.0,100.0,0,,82.93,REVIEW,1
CPSE-A,3 IN CS SEAMLESS PIP SCH40,3IN CARBON STEEL SEAMLESS PIP SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,77.42,100.0,100.0,0,,89.84,MATCH,1
CPSE-A,3 IN CS SEAMLESS PIP SCH40,3IN CARBON STEEL SEAMLESS PIP SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,73.85,100.0,100.0,0,,88.23,MATCH,2
CPSE-C,3 IN CS SEAMLESS PIPE SCH40,3IN CARBON STEEL SEAMLESS PIPE SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,82.61,100.0,100.0,0,,92.17,MATCH,1
CPSE-C,3 IN CS SEAMLESS PIPE SCH40,3IN CARBON STEEL SEAMLESS PIPE SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,77.55,100.0,100.0,0,,89.9,MATCH,2
CPSE-A,3 IN CS SLIP ON FLG 150 CLASS,3IN CARBON STEEL SLIP ON FLANGE 150 CLASS,CM0043,3 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,85.71,100.0,100.0,0,,93.57,MATCH,1
CPSE-C,3 IN CS SO FLG 150 CLASS,3IN CARBON STEEL SO FLANGE 150 CLASS,CM0043,3 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,76.47,100.0,100.0,0,,89.41,MATCH,1
CPSE-A,3 IN SPIRAL WOUND SS GRAPHITE GKT 150 CLASS,3IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,98.9,100.0,100.0,0,,99.51,MATCH,1
CPSE-A,3 IN SS316 SEAMLESS PIP SCH40,3IN SS316 SEAMLESS PIP SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,96.55,100.0,100.0,0,,98.45,MATCH,1
CPSE-A,3 IN SS316 SEAMLESS PIP SCH40,3IN SS316 SEAMLESS PIP SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,80.0,100.0,100.0,0,,91.0,MATCH,2
CPSE-C,3 IN SS316 SEAMLESS PIPE SCH40,3IN SS316 SEAMLESS PIPE SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,98.31,100.0,100.0,0,,99.24,MATCH,1
CPSE-C,3 IN SS316 SEAMLESS PIPE SCH40,3IN SS316 SEAMLESS PIPE SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,82.61,100.0,100.0,0,,92.17,MATCH,2
CPSE-C,3 IN SW SS GRAPHITE GASKET 150 CLASS,3IN SW SS GRAPHITE GASKET 150 CLASS,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,88.89,100.0,100.0,0,,95.0,MATCH,1
CPSE-C,3 PHASE IND MTR 11KW 415V 50HZ,3 PHASE IND MOTOR 11KW 415V 50HZ,CM0073,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 15KW 415V 50HZ,3 PHASE IND MOTOR 15KW 415V 50HZ,CM0074,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 18.5KW 415V 50HZ,3 PHASE IND MOTOR 18.5KW 415V 50HZ,CM0075,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,93.75,100.0,100.0,0,,97.19,MATCH,1
CPSE-C,3 PHASE IND MTR 22KW 415V 50HZ,3 PHASE IND MOTOR 22KW 415V 50HZ,CM0076,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 30KW 415V 50HZ,3 PHASE IND MOTOR 30KW 415V 50HZ,CM0077,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 37KW 415V 50HZ,3 PHASE IND MOTOR 37KW 415V 50HZ,CM0078,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 45KW 415V 50HZ,3 PHASE IND MOTOR 45KW 415V 50HZ,CM0079,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 5.5KW 415V 50HZ,3 PHASE IND MOTOR 5.5KW 415V 50HZ,CM0071,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,MOTOR,93.55,100.0,100.0,0,,97.1,MATCH,1
CPSE-C,3 PHASE IND MTR 55KW 415V 50HZ,3 PHASE IND MOTOR 55KW 415V 50HZ,CM0080,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,93.33,100.0,100.0,0,,97.0,MATCH,1
CPSE-C,3 PHASE IND MTR 7.5KW 415V 50HZ,3 PHASE IND MOTOR 7.5KW 415V 50HZ,CM0072,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,MOTOR,93.55,100.0,100.0,0,,97.1,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,CM0073,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,CM0074,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,CM0075,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,CM0076,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,CM0077,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,CM0078,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,CM0079,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,CM0071,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,CM0080,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,CM0072,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 11KW 415V 50HZ,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,CM0073,3 PHASE INDUCTION MOTOR 11KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 15KW 415V 50HZ,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,CM0074,3 PHASE INDUCTION MOTOR 15KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 18.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,CM0075,3 PHASE INDUCTION MOTOR 18.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 22KW 415V 50HZ,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,CM0076,3 PHASE INDUCTION MOTOR 22KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 30KW 415V 50HZ,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,CM0077,3 PHASE INDUCTION MOTOR 30KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 37KW 415V 50HZ,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,CM0078,3 PHASE INDUCTION MOTOR 37KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 45KW 415V 50HZ,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,CM0079,3 PHASE INDUCTION MOTOR 45KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 5.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,CM0071,3 PHASE INDUCTION MOTOR 5.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 55KW 415V 50HZ,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,CM0080,3 PHASE INDUCTION MOTOR 55KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-A,3 PHASE INDUCTION MTR 7.5KW 415V 50HZ,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,CM0072,3 PHASE INDUCTION MOTOR 7.5KW 415V 50HZ,MOTOR,100.0,100.0,100.0,0,,100.0,MATCH,1
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0023,3 IN CS GATE VALVE 150 CLASS,VALVE,68.09,0.0,100.0,0,,40.64,NO_MATCH,1
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0021,2 IN SS304 GATE VALVE 150 CLASS,VALVE,64.0,0.0,100.0,0,,38.8,NO_MATCH,2
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0026,4 IN SS304 GATE VALVE 150 CLASS,VALVE,64.0,0.0,100.0,0,,38.8,NO_MATCH,3
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0022,2 IN SS304 GATE VALVE 300 CLASS,VALVE,56.0,0.0,100.0,0,,35.2,NO_MATCH,4
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0028,8 IN CS GATE VALVE 300 CLASS,VALVE,55.32,0.0,100.0,0,,34.89,NO_MATCH,5
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0030,2 IN CS GLOBE VALVE 150 CLASS,VALVE,54.17,0.0,100.0,0,,34.38,NO_MATCH,6
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0024,4 IN SS316 BALL VALVE 150 CLASS,VALVE,44.0,0.0,100.0,0,,29.8,NO_MATCH,7
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0025,6 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,42.31,0.0,100.0,0,,29.04,NO_MATCH,8
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0029,10 IN CS BUTTERFLY VALVE 150 CLASS,VALVE,41.51,0.0,100.0,0,,28.68,NO_MATCH,9
CPSE-B,"3""CS GATE VAL 150#",3INCS GATE VAL 150#,CM0027,6 IN SS316 BALL VALVE 300 CLASS,VALVE,36.0,0.0,100.0,0,,26.2,NO_MATCH,10
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,88.46,100.0,100.0,0,,94.81,MATCH,1
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,87.27,100.0,100.0,0,,94.27,MATCH,2
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0031,2 IN CS SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,3
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0033,4 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,4
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0035,8 IN SS316 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,5
CPSE-B,"3""CS SEAMLESS PIPE SCH40",3INCS SEAMLESS PIPE SCH40,CM0039,6 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.36,100.0,100.0,0,,93.86,MATCH,6
CPSE-B,"3""CS SLIP ON FLG 150#",3INCS SLIP ON FLANGE 150#,CM0043,3 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,77.19,100.0,100.0,0,,89.74,MATCH,1
CPSE-B,"3""CS SLIP ON FLG 150#",3INCS SLIP ON FLANGE 150#,CM0045,6 IN CS SLIP ON FLANGE 150 CLASS,FLANGE,73.68,100.0,100.0,0,,88.16,MATCH,2
CPSE-B,"3""CS SLIP ON FLG 150#",3INCS SLIP ON FLANGE 150#,CM0047,10 IN SS304 SLIP ON FLANGE 150 CLASS,FLANGE,72.13,100.0,100.0,0,,87.46,MATCH,3
CPSE-B,"3""CS SLIP ON FLG 150#",3INCS SLIP ON FLANGE 150#,CM0049,4 IN SS304 SLIP ON FLANGE 300 CLASS,FLANGE,71.79,100.0,100.0,0,,87.31,MATCH,4
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0052,3 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,74.7,100.0,100.0,0,,88.61,MATCH,1
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0051,2 IN SPIRAL WOUND SS GRAPHITE GASKET 150 CLASS,GASKET,72.29,100.0,100.0,0,,87.53,MATCH,2
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0057,4 IN SS GRAPHITE GASKET 150 CLASS,GASKET,68.57,100.0,100.0,0,,85.86,MATCH,3
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0054,6 IN SPIRAL WOUND GRAPHITE GASKET 150 CLASS,GASKET,67.5,100.0,100.0,0,,85.38,MATCH,4
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0059,10 IN GRAPHITE SPIRAL WOUND GASKET 150 CLASS,GASKET,66.67,100.0,100.0,0,,85.0,MATCH,5
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0060,12 IN GRAPHITE SPIRAL WOUND GASKET 300 CLASS,GASKET,64.2,100.0,100.0,0,,83.89,REVIEW,6
CPSE-B,"3""SPIRAL WOUND SS GRAPHITE GASK 150#",3INSPIRAL WOUND SS GRAPHITE GASK 150#,CM0053,4 IN SPIRAL WOUND GRAPHITE GASKET 300 CLASS,GASKET,62.5,100.0,100.0,0,,83.12,REVIEW,7
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0037,3 IN SS316 SEAMLESS PIPE SCH40,PIPE,96.55,100.0,100.0,0,,98.45,MATCH,1
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0035,8 IN SS316 SEAMLESS PIPE SCH40,PIPE,93.1,100.0,100.0,0,,96.9,MATCH,2
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0033,4 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.21,100.0,100.0,0,,93.79,MATCH,3
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0039,6 IN SS304 SEAMLESS PIPE SCH40,PIPE,86.21,100.0,100.0,0,,93.79,MATCH,4
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0032,3 IN CS SEAMLESS PIPE SCH40,PIPE,83.64,100.0,100.0,0,,92.64,MATCH,5
CPSE-B,"3""SS316 SEAMLESS PIPE SCH40",3INSS316 SEAMLESS PIPE SCH40,CM0031,2 IN CS SEAMLESS PIPE SCH40,PIPE,82.61,100.0,100.0,0,,92.17,MATCH,6
CPSE-A,3C X 2.5 SQMM PVC CABL 1.1KV,3C X 2.5 SQMM PVC CABL 1.1KV,CM0063,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.25,100.0,100.0,0,,99.21,MATCH,1
CPSE-A,3C X 35 SQMM PVC CABL 1.1KV,3C X 35 SQMM PVC CABL 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.18,100.0,100.0,0,,99.18,MATCH,1
CPSE-A,3C X 4 SQMM PVC CABL 1.1KV,3C X 4 SQMM PVC CABL 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.11,100.0,100.0,0,,99.15,MATCH,1
CPSE-A,3C X 6 SQMM PVC CABL 1.1KV,3C X 6 SQMM PVC CABL 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,98.11,100.0,100.0,0,,99.15,MATCH,1
CPSE-C,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,1
CPSE-C,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,2
CPSE-B,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0064,3C X 4 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,3
CPSE-B,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0065,3C X 6 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,90.57,100.0,100.0,0,,95.75,MATCH,4
CPSE-C,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,5
CPSE-B,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0069,3C X 35 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,88.89,100.0,100.0,0,,95.0,MATCH,6
CPSE-C,3CX35 SQMM PVC CABLE 1.1KV,3CX35 SQMM PVC CABLE 1.1KV,CM0063,3C X 2.5 SQMM PVC CABLE 1.1KV,ELECTRICAL_CABLE,87.27,100.0,100.0,0,,94.27,MATCH,7
